Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-07-04T07:00+02:00,7694.38,21300.01,24195.22,44.31
2019-07-04T08:00+02:00,7679.75,21306.83,30215.1,39.72
2019-07-04T09:00+02:00,7597.44,20955.89,37021.49,34.77
2019-07-04T10:00+02:00,7449.73,19684.54,41907.68,31.88
2019-07-04T11:00+02:00,7355.26,18880.52,45599.46,30.89
2019-07-04T12:00+02:00,7343.56,17644.01,47595.73,29.73
2019-07-04T13:00+02:00,7334.72,16889.16,48478.36,29.65
2019-07-04T14:00+02:00,7322.89,16597.07,48314.29,29.53
2019-07-04T15:00+02:00,7345.97,16686.08,46720.29,29.64
2019-07-04T16:00+02:00,7478.9,17793.21,43143.72,29.8
2019-07-04T17:00+02:00,7578.18,19591.66,37947.27,32.98
2019-07-04T18:00+02:00,7592.44,20789.82,32279.27,36.92
2019-07-04T19:00+02:00,7597.17,21619.57,27188.21,43.58
2019-07-04T20:00+02:00,7593.86,21751.51,23769.12,44.98
2019-07-04T21:00+02:00,7592.62,21271.55,22050.25,39.9
2019-07-04T22:00+02:00,7601.74,20480.9,21691.06,39.06
2019-07-04T23:00+02:00,7613.88,19280.74,22408.95,34.9
2019-07-05T00:00+02:00,7598.27,17237.98,22365.22,29.8
2019-07-05T01:00+02:00,7599.66,15750.38,22159.66,29
2019-07-05T02:00+02:00,7606.33,15030.15,22395.84,27.8
2019-07-05T03:00+02:00,7614.08,14839.98,22208.67,27.64
2019-07-05T04:00+02:00,7633.15,15402.27,21856.69,27.9
2019-07-05T05:00+02:00,7637.68,16353.02,21800.36,29.08
2019-07-05T06:00+02:00,7660.68,19023.72,22752.27,34.62
2019-07-05T07:00+02:00,7668.15,20733.4,24848.86,42.89
2019-07-05T08:00+02:00,7652.85,21051.87,28178.31,45.92
2019-07-05T09:00+02:00,7645.99,21268.96,32512.21,43.4
2019-07-05T10:00+02:00,7640.29,21220.21,36980.87,38
2019-07-05T11:00+02:00,7616.16,20378.97,41275.16,36.6
2019-07-05T12:00+02:00,7608.9,19011.51,45310.7,33.02
2019-07-05T13:00+02:00,7606.92,18448.25,46468.89,31.05
2019-07-05T14:00+02:00,7599.8,17823.74,46238.67,29.68
2019-07-05T15:00+02:00,7598.62,17877.62,44717.45,29.23
2019-07-05T16:00+02:00,7586.38,18592.52,40704,30.4
2019-07-05T17:00+02:00,7573.39,19295.11,34980.81,32.97
2019-07-05T18:00+02:00,7573.21,20989.13,28043.21,35.35
2019-07-05T19:00+02:00,7573.25,21186.16,21535.1,40.15
2019-07-05T20:00+02:00,7578.13,21183.06,16444.87,45.86
2019-07-05T21:00+02:00,7582.39,20912.37,13962.57,45.75
2019-07-05T22:00+02:00,7587.75,20570.14,12863.34,42.07
2019-07-05T23:00+02:00,7599.94,20179.87,12368.96,38.09
2019-07-06T00:00+02:00,7602.7,18574.01,12066.38,37.97
2019-07-06T01:00+02:00,7610.31,17278.69,11658.15,34.1
2019-07-06T02:00+02:00,7619.93,16635.39,11521.52,30.99
2019-07-06T03:00+02:00,7624.49,15643.79,11834.51,30.52
2019-07-06T04:00+02:00,7634.54,15428.38,12892.35,30.01
2019-07-06T05:00+02:00,7636.98,14292.01,14795.69,29.24
2019-07-06T06:00+02:00,7642.28,14401.12,17456.61,29.21
2019-07-06T07:00+02:00,7631.97,15366.27,21370.87,29.74
2019-07-06T08:00+02:00,7619.08,15594.28,26660.43,31.05
2019-07-06T09:00+02:00,7596.51,14707.65,33652.22,30.99
2019-07-06T10:00+02:00,7583.41,12827.53,40868,29.7
2019-07-06T11:00+02:00,7560.01,11443.42,46139.55,28.53
2019-07-06T12:00+02:00,7537.33,10794.51,48849.55,26.86
2019-07-06T13:00+02:00,7533.63,10532.69,49612.09,26.09
2019-07-06T14:00+02:00,7530.8,10351.4,48611.41,24.94
2019-07-06T15:00+02:00,7523.14,10645.28,46515.32,26.1
2019-07-06T16:00+02:00,7526.17,11134.19,42932.52,27.64
2019-07-06T17:00+02:00,7544.64,12042.27,38535.41,28.99
2019-07-06T18:00+02:00,7558.8,13533.16,35745.78,30.53
2019-07-06T19:00+02:00,7569.09,13889.68,32412.08,30.77
2019-07-06T20:00+02:00,7574.28,13753.4,29968.27,29.73
2019-07-06T21:00+02:00,7573.49,13473.69,28428.24,29.34
2019-07-06T22:00+02:00,7584.3,13037.1,26929.21,32.12
2019-07-06T23:00+02:00,7581.08,12460.58,25713.88,29.09
2019-07-07T00:00+02:00,7581.66,11726.87,25330.06,28.21
2019-07-07T01:00+02:00,7577.91,10387.12,24798.02,25.98
2019-07-07T02:00+02:00,7585.66,10202.59,24672.9,25.03
2019-07-07T03:00+02:00,7591.6,10140.31,24417.82,24.27
2019-07-07T04:00+02:00,7590.74,10178.49,23885.24,23.36
2019-07-07T05:00+02:00,7599.32,10198.49,24172.4,23.6
2019-07-07T06:00+02:00,7607.78,10145.35,24830.79,21.82
2019-07-07T07:00+02:00,7596.65,10099.41,26421.28,20.78
2019-07-07T08:00+02:00,7590.23,10312.62,29911.66,24.11
2019-07-07T09:00+02:00,7593.42,10154.62,32849.94,25.76
2019-07-07T10:00+02:00,7590.86,10430.79,35533.65,25.99
2019-07-07T11:00+02:00,7585.85,10471.59,38359.08,26.4
2019-07-07T12:00+02:00,7413.94,10164,41030.54,26.3
2019-07-07T13:00+02:00,7325.03,9761.16,43128.36,20.66
2019-07-07T14:00+02:00,7283.12,9568.36,44672.06,9.39
2019-07-07T15:00+02:00,7347.9,9607.91,43950.61,6.77
2019-07-07T16:00+02:00,7353.04,9844.43,42377.51,12.12
2019-07-07T17:00+02:00,7351.64,10467.15,39037.06,25.62
2019-07-07T18:00+02:00,7521.14,11963.26,33674.05,29.2
2019-07-07T19:00+02:00,7568.45,13563.09,28555.13,31.47
2019-07-07T20:00+02:00,7578.73,15022.8,23091.94,31.98
2019-07-07T21:00+02:00,7592.2,15756.35,19590.34,33.06
2019-07-07T22:00+02:00,7589.31,16021.79,18220.8,37.02
2019-07-07T23:00+02:00,7584.61,15151.91,18373.87,33.02
2019-07-08T00:00+02:00,7611.82,13540.63,18138.65,34.93
2019-07-08T01:00+02:00,7625.15,13156.09,18198.51,30.11
2019-07-08T02:00+02:00,7634.4,12982.62,17563.3,29.55
2019-07-08T03:00+02:00,7641.16,13218.58,17543,30.47
2019-07-08T04:00+02:00,7644.2,14073.65,17590.2,30.04
2019-07-08T05:00+02:00,7643.74,15438.19,18108.74,30.1
2019-07-08T06:00+02:00,7644.89,18948.18,19130.78,34.9
2019-07-08T07:00+02:00,7651.49,20960.57,21553.62,39.06
2019-07-08T08:00+02:00,7643,20926.33,26524.28,39.99
2019-07-08T09:00+02:00,7635,20574.7,32055.19,38.59
2019-07-08T10:00+02:00,7631.09,20534.17,35221.69,37.29
2019-07-08T11:00+02:00,7624.85,20817.03,36785.85,39.94
2019-07-08T12:00+02:00,7615.45,20525.87,37746.3,38.68
2019-07-08T13:00+02:00,7611.58,21004.12,38024.9,35.09
2019-07-08T14:00+02:00,7607.05,20893.9,37334.74,33.48
2019-07-08T15:00+02:00,7609.04,20906.42,36011.53,33.76
2019-07-08T16:00+02:00,7607.41,20489.29,33948.55,34.47
2019-07-08T17:00+02:00,7608.46,21619.2,30686.84,34.92
2019-07-08T18:00+02:00,7606.18,21796.86,27023.74,38
2019-07-08T19:00+02:00,7604.85,21599.4,23097.86,42.9
2019-07-08T20:00+02:00,7608.45,21518.66,19484.61,38.35
2019-07-08T21:00+02:00,7614.19,21728.88,17607.65,37.93
2019-07-08T22:00+02:00,7617.68,21484.98,17223.36,39.43
2019-07-08T23:00+02:00,7618.62,20195.4,17641.22,34.63
2019-07-09T00:00+02:00,7621.46,18140.05,17711.26,31.56
2019-07-09T01:00+02:00,7630.38,17149.98,18018.74,30.19
2019-07-09T02:00+02:00,7633.09,17025.15,18053.66,29.81
2019-07-09T03:00+02:00,7636.05,16978.14,17960.65,29.43
2019-07-09T04:00+02:00,7641.93,17380.08,17463.03,29.95
2019-07-09T05:00+02:00,7639.69,18174.78,17056.39,30.47
2019-07-09T06:00+02:00,7638.22,20658.64,17598.2,36.16
2019-07-09T07:00+02:00,7639.8,21294.83,20143.45,43.95
2019-07-09T08:00+02:00,7787.4,20809.73,24474.42,44.06
2019-07-09T09:00+02:00,7923.03,20762.84,29282.83,41.09
2019-07-09T10:00+02:00,7985.02,20526.16,33125.09,38.17
2019-07-09T11:00+02:00,7994.53,21323.18,35359.52,38.04
2019-07-09T12:00+02:00,8055,20981.33,36200.26,37.06
2019-07-09T13:00+02:00,8155.08,20652.06,37168.64,35.15
2019-07-09T14:00+02:00,8228.06,20179.53,37157.48,34.75
2019-07-09T15:00+02:00,8227.69,19896.54,36870.22,34.24
2019-07-09T16:00+02:00,8220.12,20011.34,35394.44,34.74
2019-07-09T17:00+02:00,8217.65,20926.42,32364.77,36.71
2019-07-09T18:00+02:00,8394.98,21717.52,27527.14,40.34
2019-07-09T19:00+02:00,8404.4,21955.03,22604.16,47
2019-07-09T20:00+02:00,8409.71,22187.61,18142.86,47.9
2019-07-09T21:00+02:00,8415.79,22187.31,15685.07,45.99
2019-07-09T22:00+02:00,8496.77,21901.83,15349.04,43.88
2019-07-09T23:00+02:00,8648.47,21343.17,15652.38,36.66
2019-07-10T00:00+02:00,8636.13,20837.29,15892.74,35.91
2019-07-10T01:00+02:00,8653.82,19649.9,15399.08,33.54
2019-07-10T02:00+02:00,8706.82,19744.32,14754.62,32.98
2019-07-10T03:00+02:00,8784.82,19618.34,14278.2,32.92
2019-07-10T04:00+02:00,8807.28,20198.14,13512.53,33.3
2019-07-10T05:00+02:00,8827.62,21658.42,12949.13,33.5
2019-07-10T06:00+02:00,8857.5,24210.49,14086.33,41.92
2019-07-10T07:00+02:00,8883.03,25546.98,16915.82,49.45
2019-07-10T08:00+02:00,8897.08,25516.6,21993.92,48.8
2019-07-10T09:00+02:00,8881.05,25500.71,27274.06,43.99
2019-07-10T10:00+02:00,8870.32,25383.09,31440.54,41.34
2019-07-10T11:00+02:00,8860.04,25370.44,35374.49,42.13
2019-07-10T12:00+02:00,8840.73,24418.21,38423.13,39.16
2019-07-10T13:00+02:00,8858.46,23560.23,39922.65,37.32
2019-07-10T14:00+02:00,8878.86,23553.18,39523.41,36.99
2019-07-10T15:00+02:00,8854.09,23414.67,37216.92,37.05
2019-07-10T16:00+02:00,8856.18,23833.45,33892.44,38.84
2019-07-10T17:00+02:00,8855.95,24859.54,29313.72,44.08
2019-07-10T18:00+02:00,8852.92,26440.67,23530.21,48.95
2019-07-10T19:00+02:00,8852.92,27799.02,18063.3,53.19
2019-07-10T20:00+02:00,8864.66,28093.15,14323.82,51.47
2019-07-10T21:00+02:00,8866.81,28068.81,12162.21,48.06
2019-07-10T22:00+02:00,8873.02,27912.89,11798.49,47.73
2019-07-10T23:00+02:00,8873.84,26784.44,11480.31,42.65
2019-07-11T00:00+02:00,8876.3,24499.51,11367.4,36.52
2019-07-11T01:00+02:00,8869.48,22596.79,11102.43,35.99
2019-07-11T02:00+02:00,8872.54,22028.43,10677.46,35.12
2019-07-11T03:00+02:00,8870.65,21803.74,10472.67,35
2019-07-11T04:00+02:00,8874.54,22494.32,10464.38,35
2019-07-11T05:00+02:00,8880.32,23162.78,10377.46,35.96
2019-07-11T06:00+02:00,8888.15,26272.37,11323.6,42.41
2019-07-11T07:00+02:00,8880.21,27817,13088.78,50.92
2019-07-11T08:00+02:00,8869.38,27904.72,15756.42,51.94
2019-07-11T09:00+02:00,8864.86,28068.59,18939.74,52.84
2019-07-11T10:00+02:00,8859.23,28468.92,21383.9,51.78
2019-07-11T11:00+02:00,8859.54,29000.45,23451.51,53.99
2019-07-11T12:00+02:00,8867.41,29140.28,23972.27,51.42
2019-07-11T13:00+02:00,8862.47,29331.16,23949.39,50
2019-07-11T14:00+02:00,8853.23,29627,23268.12,46.65
2019-07-11T15:00+02:00,8848.28,29624.53,21547.9,45.51
2019-07-11T16:00+02:00,8852.13,29756.16,19287.42,46
2019-07-11T17:00+02:00,8862.74,29614.54,17231.57,49.9
2019-07-11T18:00+02:00,8874.93,29724.71,14959.56,52.7
2019-07-11T19:00+02:00,8886.29,29866.33,12592.37,53.39
2019-07-11T20:00+02:00,8878.26,29523.1,10710.12,51.9
2019-07-11T21:00+02:00,8879.3,29350.1,9777.74,49.04
2019-07-11T22:00+02:00,8889.79,28940.04,9860.67,47.76
2019-07-11T23:00+02:00,8888.93,27334,10137.22,40.17
2019-07-12T00:00+02:00,8883.61,26037.22,10657.88,38.94
2019-07-12T01:00+02:00,8887.05,25057.02,10969.8,37.89
2019-07-12T02:00+02:00,8894.05,23553.08,10743.01,37.43
2019-07-12T03:00+02:00,8834.47,23429.41,10549.32,37.33
2019-07-12T04:00+02:00,8670.74,24067.16,10137.71,37.68
2019-07-12T05:00+02:00,8605.12,25508.34,9869.53,37.83
2019-07-12T06:00+02:00,8612.75,27802.59,10651.78,48.39
2019-07-12T07:00+02:00,8618.02,28808.02,12830.39,53.91
2019-07-12T08:00+02:00,8617.19,28988.37,15906.27,58.4
2019-07-12T09:00+02:00,8603.88,29062.71,19373.4,56.77
2019-07-12T10:00+02:00,8589.54,29119.9,22417.83,52.4
2019-07-12T11:00+02:00,8538.38,29106.84,24485.36,50.97
2019-07-12T12:00+02:00,8530.83,28749.7,26529.15,44.54
2019-07-12T13:00+02:00,8522.14,27912.04,28171.14,41.73
2019-07-12T14:00+02:00,8521.28,26814.1,28411.42,40.73
2019-07-12T15:00+02:00,8525.61,26344.56,27641,38
2019-07-12T16:00+02:00,8735.97,26337.36,25139.88,38.64
2019-07-12T17:00+02:00,8558.63,27343.54,23349.51,41.91
2019-07-12T18:00+02:00,7988.32,27530.6,19721.76,50.9
2019-07-12T19:00+02:00,7704.45,27838.92,16224.28,53.94
2019-07-12T20:00+02:00,7625.39,27788.75,13775.02,53.92
2019-07-12T21:00+02:00,7590.86,27333.95,12852.23,48.31
2019-07-12T22:00+02:00,7580.79,26697.03,12742.91,43.88
2019-07-12T23:00+02:00,7580.95,24586.5,13788.21,41.42
2019-07-13T00:00+02:00,7574.85,20860.1,14643.25,41.05
2019-07-13T01:00+02:00,7577.99,18750.12,14818.34,38.38
2019-07-13T02:00+02:00,7580.46,18125.35,15015.96,36.87
2019-07-13T03:00+02:00,7585.17,17489.1,14786.99,36.12
2019-07-13T04:00+02:00,7585,17206.44,15015.04,37.02
2019-07-13T05:00+02:00,7579.97,17050.32,15500.13,35.36
2019-07-13T06:00+02:00,7587.19,17110.28,16536.79,36.1
2019-07-13T07:00+02:00,7588.44,17203.7,18228.77,37.78
2019-07-13T08:00+02:00,7585.14,17741.18,20244.57,38.46
2019-07-13T09:00+02:00,7586.78,18554.05,23098.64,39.83
2019-07-13T10:00+02:00,7590.59,18770.51,25663.11,39.82
2019-07-13T11:00+02:00,7590.95,18812.59,27964.77,39
