Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-04-04T07:00+02:00,9403.23,35336.47,14729.34,53.64
2019-04-04T08:00+02:00,9408,35811.45,16497.5,59.86
2019-04-04T09:00+02:00,9401.3,35871.98,18442.54,46.92
2019-04-04T10:00+02:00,9391.97,35464.82,21305.8,48
2019-04-04T11:00+02:00,9383.95,35397,24144.52,47
2019-04-04T12:00+02:00,9296.29,35241.84,25840.54,40.85
2019-04-04T13:00+02:00,9251.1,34390.66,26970.04,41.32
2019-04-04T14:00+02:00,9133.15,33724.59,27378.32,38.59
2019-04-04T15:00+02:00,9137.8,33443.42,26338.42,38.3
2019-04-04T16:00+02:00,9141.92,33816.28,23886.06,38.1
2019-04-04T17:00+02:00,9324.21,34570.07,20501.63,40.08
2019-04-04T18:00+02:00,9378.17,35357.94,17321,45.23
2019-04-04T19:00+02:00,9387.56,35451.28,16067.24,50.5
2019-04-04T20:00+02:00,9388.21,35374.87,17343.22,48.93
2019-04-04T21:00+02:00,9397.97,34131.91,18062.38,43.81
2019-04-04T22:00+02:00,9404.04,32370.23,17965.91,38.49
2019-04-04T23:00+02:00,9401.02,31660.57,17815.38,36.8
2019-04-05T00:00+02:00,9387.02,30824.65,17446.43,35.36
2019-04-05T01:00+02:00,9395.55,30346.24,16894.28,35.47
2019-04-05T02:00+02:00,9406.99,29937.27,16375.06,34.49
2019-04-05T03:00+02:00,9413.67,29908.95,15974.16,33.76
2019-04-05T04:00+02:00,9409.2,30715.15,15712.53,36.17
2019-04-05T05:00+02:00,9389.8,32062.34,15303.31,38.63
2019-04-05T06:00+02:00,9391.15,33631.87,15394.86,44.84
2019-04-05T07:00+02:00,9399.55,34673.47,15958.67,53.16
2019-04-05T08:00+02:00,9407.81,35246.04,17045.47,58.67
2019-04-05T09:00+02:00,9400.86,35515.55,18631.05,53.64
2019-04-05T10:00+02:00,9401.79,35534.55,20501.33,46.58
2019-04-05T11:00+02:00,9403.49,35281.61,21885.45,44.01
2019-04-05T12:00+02:00,9398.08,34521.65,22434.56,41.18
2019-04-05T13:00+02:00,9393.12,33643.15,23219.04,40.08
2019-04-05T14:00+02:00,9396.41,33128.58,22527.45,38.64
2019-04-05T15:00+02:00,9395.14,32828.42,21243.09,38.34
2019-04-05T16:00+02:00,9399.35,32691.61,19595.36,38.64
2019-04-05T17:00+02:00,9391.64,33379.47,16682.26,40.96
2019-04-05T18:00+02:00,9383.89,33727.52,13605.04,44.35
2019-04-05T19:00+02:00,9385.85,33932.59,12084.41,47.23
2019-04-05T20:00+02:00,9378.21,33923.51,12112.47,46.94
2019-04-05T21:00+02:00,9372.24,32765.1,12220.22,41.99
2019-04-05T22:00+02:00,9380.04,30647.97,12281.02,41.33
2019-04-05T23:00+02:00,9376.09,28606.07,12446.41,40.33
2019-04-06T00:00+02:00,9386.29,27533.95,12290.21,41.65
2019-04-06T01:00+02:00,9385.58,26758.38,12632,39.86
2019-04-06T02:00+02:00,9390.38,25911.07,12827.13,38.31
2019-04-06T03:00+02:00,9403.97,25206.22,12648.65,36.1
2019-04-06T04:00+02:00,9403.47,25332.82,12619.6,36.13
2019-04-06T05:00+02:00,9396.98,25911.4,12885.59,37.27
2019-04-06T06:00+02:00,9389.62,26294.97,13213.15,39.2
2019-04-06T07:00+02:00,9396.72,26455.74,14895.91,42.03
2019-04-06T08:00+02:00,9390.63,26540.75,18100.22,44.06
2019-04-06T09:00+02:00,9395.32,26945.39,21579,46.51
2019-04-06T10:00+02:00,9394.33,26914.23,26770.01,42.72
2019-04-06T11:00+02:00,9365.81,26070.05,31795.56,40.91
2019-04-06T12:00+02:00,9352.84,24816.52,35310.6,34.56
2019-04-06T13:00+02:00,9356.56,22975.96,37868.41,33.66
2019-04-06T14:00+02:00,9350.83,21836.26,38006.34,31.03
2019-04-06T15:00+02:00,9342.74,22266.53,35403.3,31.02
2019-04-06T16:00+02:00,9313.15,23143.79,31856.98,31.04
2019-04-06T17:00+02:00,9309.85,23834.33,27348.38,32.41
2019-04-06T18:00+02:00,9304.06,24666.04,21651.79,41.28
2019-04-06T19:00+02:00,9303.12,25057.55,18902.14,42.91
2019-04-06T20:00+02:00,9288.32,25219.8,21366.35,41.88
2019-04-06T21:00+02:00,9285.07,25248.32,24169.94,39.99
2019-04-06T22:00+02:00,9305.24,25032.47,25197.1,39.21
2019-04-06T23:00+02:00,9318.72,24110.18,24317.38,36.22
2019-04-07T00:00+02:00,9337.45,23793.84,22135.42,36.05
2019-04-07T01:00+02:00,9343.02,23784.35,20086.32,37.71
2019-04-07T02:00+02:00,9349.94,23721.97,18467.33,37.13
2019-04-07T03:00+02:00,9353.51,23552.67,17035.01,35.5
2019-04-07T04:00+02:00,9363.96,23300.47,16037.5,35.64
2019-04-07T05:00+02:00,9368.34,23443.66,15265.54,36.17
2019-04-07T06:00+02:00,9380.76,23822.92,15225.04,36.69
2019-04-07T07:00+02:00,9377.6,23969.63,16944.62,39.43
2019-04-07T08:00+02:00,9381.41,23457.09,21075.98,40.51
2019-04-07T09:00+02:00,9377.98,23025.81,25074.84,40.66
2019-04-07T10:00+02:00,9345.88,22626.45,30105.78,36.63
2019-04-07T11:00+02:00,9301.16,20960.01,35634.76,34.99
2019-04-07T12:00+02:00,9257.69,19621.26,39314.75,34.68
2019-04-07T13:00+02:00,9030.1,17688.63,39575.48,31.5
2019-04-07T14:00+02:00,9204.85,16226.01,37181.59,28.03
2019-04-07T15:00+02:00,9255.75,17154,32978.99,28.92
2019-04-07T16:00+02:00,9298.13,19529.98,27914.4,31.4
2019-04-07T17:00+02:00,9304.82,22555.44,22132.79,34.87
2019-04-07T18:00+02:00,9307.61,24844.7,16721.22,42.9
2019-04-07T19:00+02:00,9304.92,26647.78,13771.14,46.65
2019-04-07T20:00+02:00,9307.23,27092.19,14800.05,49.65
2019-04-07T21:00+02:00,9298.34,27520.88,16485.18,46.27
2019-04-07T22:00+02:00,9322.55,27540.73,17116.95,45.55
2019-04-07T23:00+02:00,9308.81,26866.16,16447.17,44.01
2019-04-08T00:00+02:00,9322.75,25988.22,15639.12,38.84
2019-04-08T01:00+02:00,9332.35,25700.92,14537.45,37.7
2019-04-08T02:00+02:00,9341.04,25882.28,13258.3,36.73
2019-04-08T03:00+02:00,9346.31,26890.91,12193.88,36.3
2019-04-08T04:00+02:00,9348.29,27836.5,11726.27,37.2
2019-04-08T05:00+02:00,9344.24,29667.39,12031.35,41.6
2019-04-08T06:00+02:00,9345.66,32276.74,13001.45,54.96
2019-04-08T07:00+02:00,9355.34,33646.15,14909.7,59.47
2019-04-08T08:00+02:00,9351.18,34009.65,19171.19,60
2019-04-08T09:00+02:00,9328.65,34346.11,23494.75,58.62
2019-04-08T10:00+02:00,9177.05,34045.63,28009.33,49.1
2019-04-08T11:00+02:00,9022.88,33273.48,32055.79,44.4
2019-04-08T12:00+02:00,8931.26,32340.96,34701.67,42.82
2019-04-08T13:00+02:00,8820.59,31923.87,35638.26,41.85
2019-04-08T14:00+02:00,8774.47,31614.64,34693.16,40.42
2019-04-08T15:00+02:00,8748.41,32437.1,32474.99,40.17
2019-04-08T16:00+02:00,8743.92,32477.54,29389.76,39.73
2019-04-08T17:00+02:00,8733.31,32966.84,26070.84,42.84
2019-04-08T18:00+02:00,9057.98,33311.11,22990.17,45.05
2019-04-08T19:00+02:00,9263.11,32945.36,21310.17,48.46
2019-04-08T20:00+02:00,9283.22,32792.04,22182.51,46.58
2019-04-08T21:00+02:00,9280.77,32324.16,23125.5,43.42
2019-04-08T22:00+02:00,9288.92,30553.39,22382.7,41.94
2019-04-08T23:00+02:00,9303.45,28553.17,21569.44,37.44
2019-04-09T00:00+02:00,9303.86,27739.61,21050.34,34.75
2019-04-09T01:00+02:00,9311.68,27467.09,20172.02,34.69
2019-04-09T02:00+02:00,9329.75,27265.04,19522.39,35.6
2019-04-09T03:00+02:00,9338.92,26438.98,19023.89,34.96
2019-04-09T04:00+02:00,9351.38,26991.75,18957.72,35.12
2019-04-09T05:00+02:00,9335.67,28862.7,18966.86,37.47
2019-04-09T06:00+02:00,9310.17,31594.2,19308.06,47.2
2019-04-09T07:00+02:00,9200.26,32942.28,19509.99,52.08
2019-04-09T08:00+02:00,9118.32,33559.27,21790.64,55.32
2019-04-09T09:00+02:00,9089.06,33942.94,25564.87,49.47
2019-04-09T10:00+02:00,9072.61,33440.22,30046.4,46.73
2019-04-09T11:00+02:00,9232.4,32501.32,33458.46,44.79
2019-04-09T12:00+02:00,9329.6,31786.5,36313.27,42.76
2019-04-09T13:00+02:00,9298.87,31210.99,37456.04,40.94
2019-04-09T14:00+02:00,9303.01,30774.83,36696.57,39.59
2019-04-09T15:00+02:00,9301.24,30789.85,34393.78,37.38
2019-04-09T16:00+02:00,9292.94,31206.62,31392.52,37.39
2019-04-09T17:00+02:00,9297.38,31893.6,28107.64,40.71
2019-04-09T18:00+02:00,9281.92,32298.19,24878.93,44.09
